Unique Key,Shelter Name,Capacity,Restrictions,Longitude ,Latitude ,Address,Special Notes,Phone Number,Image URL
0,My Sister's House,264,Women/Children,-84.410142,33.780174,921 Howell Mill Road,Temporary/ Emergency/Residential Recovery,(404) 367-2465,https://assets.rbl.ms/13910706/980x.jpg,0
1,The Atlanta Day Center for Women & Children,140,Women/Children,-84.408771,33.784889,655 Ethel Street,Career Facilitation,(404) 588-4007,https://assets.rbl.ms/13910706/980x.jpg,0
2,The Shepherd's Inn,450,Men,-84.39265,33.765162,156 Mills Street,Temporary/ Residential Recovery,(404) 367-2493,https://assets.rbl.ms/13910706/980x.jpg,0
3,Fuqua Hall,92,Men,-84.392273,33.76515,144 Mills Street,Transitional housing,(404) 367-2492,https://assets.rbl.ms/13910706/980x.jpg,0
4,Atlanta's Children Center,40,Families w/ Children under 5,-84.384433,33.770949,607 Peachtree Street NE,Children's programs/early childhood education,(404) 892-3713,https://assets.rbl.ms/13910706/980x.jpg,0
5,Eden Village ,32 for families/80 singles,Women/Children,-84.43023,33.762316,1300 Joseph E. Boone Blvd NW,General recovery services,(404)-874-2241,https://assets.rbl.ms/13910706/980x.jpg,0
6,Our House ,76 family rooms ,Families w/ newborns ,-84.371706,33.759138,173 Boulevard Northeast,Families w/ Newborns/Pre-K education,(404) 522-6056,https://assets.rbl.ms/13910706/980x.jpg,0
7,Covenant House Georgia ,80,Childrens/Young adults ,-84.437988,33.78823,1559 Johnson Road NW,Crisis services/Career Preparation,(404)-937-6957,https://assets.rbl.ms/13910706/980x.jpg,0
8,Nicholas House,,Families ,-84.367953,33.731823,830 Boulevard SE,Family services ,(404)-622-0793,https://assets.rbl.ms/13910706/980x.jpg,0
9,Hope Atlanta ,22 apartments,Anyone ,-84.390429,33.753594,34 Peachtree Street NW/Suite 700,Emergency shelter ,(404)-817-7070,https://assets.rbl.ms/13910706/980x.jpg,0
10,Gateway Center,330,Men,-84.394529,33.747618,275 Pryor St. SW,Shelter and recovery services ,(404) 215-6600,https://assets.rbl.ms/13910706/980x.jpg,0
11,Young Adult Guidance Center ,12,Young adults ,-84.470567,33.789157,1230 Hightower Road NW ,Emergency/ Independent living/ Restoration ,(404) 792-7616,https://assets.rbl.ms/13910706/980x.jpg,0
12,Homes of Light ,,Veterans ,-84.328691,33.747641,1800 Memorial Dr SE G3,Veterans ,(844) 289-8382,https://assets.rbl.ms/13910706/980x.jpg,0
